timestamp          , open    , high    , low     , close   , volume
2025-04-07 04:00:00, 218.0400, 222.2300, 214.8000, 215.5000,    56581
2025-04-07 04:01:00, 215.5000, 218.6700, 215.2300, 218.6700,    28711
2025-04-07 04:02:00, 218.7000, 221.5400, 218.5100, 220.5000,    42392
2025-04-07 04:03:00, 220.2200, 220.2200, 218.1300, 219.1500,    30220
2025-04-07 04:04:00, 219.1100, 219.5000, 218.4600, 218.5600,    21165
2025-04-07 04:05:00, 218.9900, 219.2500, 217.4600, 217.6400,    17797
2025-04-07 04:06:00, 217.6200, 218.6400, 217.0100, 218.1000,    16057
2025-04-07 04:07:00, 218.4000, 218.7900, 217.7600, 218.6800,    16621
2025-04-07 04:08:00, 218.6300, 219.0000, 218.1100, 218.1200,    14221
2025-04-07 04:09:00, 218.1000, 218.3000, 217.8400, 218.2200,    17096
2025-04-07 04:10:00, 218.1400, 218.2600, 217.3000, 217.3100,    13463
2025-04-07 04:11:00, 217.3000, 217.4300, 216.0000, 216.1600,    24417
2025-04-07 04:12:00, 216.0200, 216.8100, 215.9000, 216.3000,    20815
2025-04-07 04:13:00, 216.2600, 217.4100, 216.1800, 216.6300,    20834
2025-04-07 04:14:00, 216.7300, 217.5000, 216.7100, 217.0100,    14152
2025-04-07 04:15:00, 217.0000, 218.0000, 216.9800, 217.8700,     9163
2025-04-07 04:16:00, 217.9700, 218.6000, 217.5100, 217.5100,     9935
2025-04-07 04:17:00, 217.5500, 219.2000, 217.5100, 219.2000,    16443
2025-04-07 04:18:00, 219.2000, 219.3000, 218.6600, 219.3000,    18006
2025-04-07 04:19:00, 219.2200, 220.6600, 219.2200, 220.2100,    20346
2025-04-07 04:20:00, 220.3400, 220.4100, 219.1300, 219.1300,    13815
2025-04-07 04:21:00, 219.1300, 219.7100, 218.7500, 219.5100,    20143
2025-04-07 04:22:00, 219.5000, 219.5100, 218.5000, 218.5000,     4591
2025-04-07 04:23:00, 218.5100, 219.4200, 218.5100, 219.1300,     5358
2025-04-07 04:24:00, 219.5500, 220.3500, 219.4000, 220.3500,    20719
2025-04-07 04:25:00, 220.4000, 220.6900, 219.9000, 220.6700,    15163
2025-04-07 04:26:00, 220.8000, 220.9400, 219.5000, 219.5000,    12740
2025-04-07 04:27:00, 219.5000, 219.8000, 219.0000, 219.4900,     5837
2025-04-07 04:28:00, 219.4200, 219.5900, 219.2100, 219.4000,     3893
2025-04-07 04:29:00, 219.8000, 220.0000, 219.4100, 219.4700,     8693
2025-04-07 04:30:00, 219.4600, 219.9000, 219.3200, 219.6200,     3848
2025-04-07 04:31:00, 219.5500, 219.6300, 218.8100, 218.8100,     4402
2025-04-07 04:32:00, 218.8100, 219.7200, 218.4400, 219.5000,    12756
2025-04-07 04:33:00, 219.4600, 220.2000, 219.1900, 220.2000,    11577
2025-04-07 04:34:00, 220.3300, 220.5700, 220.1300, 220.5400,    11228
2025-04-07 04:35:00, 220.5000, 220.8000, 220.0000, 220.8000,    17320
2025-04-07 04:36:00, 220.7300, 221.6100, 220.5900, 221.5100,    13334
2025-04-07 04:37:00, 221.5000, 222.3000, 221.2700, 222.1300,    49249
2025-04-07 04:38:00, 222.3700, 224.4000, 222.2800, 224.2300,    30243
2025-04-07 04:39:00, 224.2300, 224.2300, 222.6800, 222.7500,    19950
2025-04-07 04:40:00, 222.8600, 224.0100, 222.8400, 224.0100,    12718
2025-04-07 04:41:00, 224.0200, 224.8800, 223.8300, 224.7400,    15060
2025-04-07 04:42:00, 224.8600, 225.9600, 224.4100, 225.8400,    63961
2025-04-07 04:43:00, 225.9900, 227.1100, 225.5000, 225.5500,    30867
2025-04-07 04:44:00, 225.5500, 225.8300, 224.2300, 224.4000,    15736
2025-04-07 04:45:00, 224.3800, 225.0500, 222.7000, 222.8000,    14335
2025-04-07 04:46:00, 222.8300, 223.4600, 222.7400, 223.0300,    11990
2025-04-07 04:47:00, 223.0300, 223.9500, 222.7200, 222.7300,    12291
2025-04-07 04:48:00, 222.6700, 223.0100, 221.5500, 222.7900,    20400
2025-04-07 04:49:00, 222.6300, 223.3800, 222.6300, 223.0500,     4217
2025-04-07 04:50:00, 223.1200, 223.7700, 223.0000, 223.5200,     5860
2025-04-07 04:51:00, 223.4400, 224.2700, 223.2000, 224.0800,     7097
2025-04-07 04:52:00, 224.1700, 225.1700, 224.1700, 224.4400,     7875
2025-04-07 04:53:00, 224.7000, 224.7500, 223.0100, 223.5000,     8952
2025-04-07 04:54:00, 223.6900, 223.8100, 223.0600, 223.0600,     3630
2025-04-07 04:55:00, 223.1300, 223.6300, 223.0000, 223.1700,     6675
2025-04-07 04:56:00, 223.3000, 223.5100, 222.7300, 222.7900,     8053
